word2vec_model_words,word2vec_model_frequency
4893,عاجل
4584,وزاره
4539,تعلن
4902,الحجر
6036,الصحي
30903,علي
2358,شخص
709,الولايات
1011,المتحده
603,لمنع
5085,انتشار
18219,فيروس
96524,كورونا
2230,المستجد
964,فعلا
7238,اللي
1619,الطلاب
1092,بدون
1148,كمامات
848,اجل
787,مطار
973,مصابه
580,منطقه
1273,لفيروس
965,الامريكيه
745,المفروض
7571,ولا
1619,عليهم
1029,والي
974,انهم
12001,الصحه
2102,حول
889,قوه
4820,الا
934,بالله
677,العلم
568,المطار
1088,القادمين
1466,ممكن
3429,امريكا
3620,غير
741,شكرا
4171,قبل
6443,مصر
18625,الله
991,وقت
68452,الصين
7779,العالم
643,خوفا
700,طلاب
585,الوطن
525,الساعه
2353,وزير
1502,عند
1128,السفر
2513,الجديد
7292,الكورونا
2017,جدا
873,كلها
593,صينيه
632,بمرض
641,طبعا
2681,لكن
965,ابو
1278,سنه
824,الحمد
924,لله
530,الدنيا
1120,بلد
732,تركيا
3009,مدينه
9635,ووهان
4283,الصينيه
653,الطاءره
822,لمده
745,اسبوعين
865,طيب
2266,انت
523,المصريه
818,كانوا
2388,وباء
723,وصلت
730,منع
6445,حتي
762,نهايه
1178,داخل
1366,دخول
2230,احد
923,حجر
1015,صحي
997,وكل
3067,المسلمين
9475,بعد
638,دخل
5323,الفيروس
5180,المرض
1619,ولكن
931,الجميع
956,العلاج
721,مصابين
1155,اعلنت
962,صحيح
1027,اعراض
1436,خارج
4429,انا
510,الكلام
562,الاعلان
3672,جديده
4143,السعوديه
2495,كيف
1306,ايه
1004,اصلا
849,وذلك
526,هذا
1140,المملكه
2482,خلال
1486,الصحيه
516,الحياه
1252,فرنسا
1472,البلاد
800,المصريين
932,العاءدين
1223,فيديو
663,شاهد
3617,دوله
2792,مثل
2300,عشان
1615,الدوله
1150,وجود
581,مستوي
1321,حيث
1173,الامراض
888,وليس
550,متابعه
2448,فقط
2640,هناك
3077,المصابين
3294,فيه
2582,الوباء
3866,يعني
2197,منه
2771,عليه
681,ربي
1356,لازم
2179,الوقايه
974,فتره
2945,مرض
556,شويه
555,السودان
3230,والله
1885,مستشفي
1004,كبير
9193,حاله
733,واحده
1381,البلد
646,مريض
962,انك
1888,الشعب
612,وزيره
642,تءكد
736,الخارجيه
1139,المواطنين
875,وعلي
1558,احنا
1275,مره
504,وسط
1797,اصابات
687,اين
2279,الحكومه
1415,ناس
885,رغم
660,عندها
3196,بين
1057,ربنا
518,موجود
697,واذا
1104,بان
573,سوف
1499,يتم
640,المدينه
539,الموبوءه
3595,وفاه
2250,الوفيات
2767,واحد
2893,تسجيل
769,المستشفي
523,خلاص
10086,بفيروس
668,عمل
859,وضع
1092,العدوي
537,الاخري
620,المرضي
1537,يقول
669,فلا
1370,بها
4387,اللهم
596,بلاد
733,عليكم
936,ولم
549,التفاصيل
536,الطلبه
4114,الدول
851,كده
5194,كان
635,كلام
793,ساعه
953,حاجه
719,درجه
775,عادي
1314,الاجراءات
1497,اما
2278,يكون
945,خاصه
545,للاسف
941,ينتشر
1823,اجراءات
2713,لان
518,الامن
858,العام
1508,راح
837,كبيره
3279,العالميه
1285,لمواجهه
670,الاسلام
756,تعرف
2037,عبر
534,الرابط
547,الطبي
805,فيهم
1214,الموضوع
893,اهم
1084,بالصين
694,الفيروسات
1459,يمكن
824,الاولي
805,مقاطعه
605,هوبي
1313,يجب
1655,تفشي
603,يعلن
626,التعامل
800,شاء
524,احسن
873,حال
2207,بعض
514,عاد
1205,كله
2079,شهر
2037,اخر
534,ينتقل
1003,مكان
639,كمان
798,ليه
3765,الناس
4437,فايروس
1073,حرب
796,الحرب
668,وهم
3476,ارتفاع
1732,حراره
807,الحين
699,اجلاء
1043,السلطات
1341,عليها
1331,وفي
1325,مليون
768,لماذا
909,لانه
895,عندما
545,مافي
554,عزل
1122,وين
633,عندك
541,لحد
5460,عدد
559,طالب
3624,كمامه
1469,صيني
758,انفلونزا
1441,ايام
559,تقريبا
619,لكم
564,اليمنيين
949,بكورونا
1321,اليمن
754,مركز
630,المشكله
1555,بشكل
814,السيطره
683,يستر
1517,منهم
641,علشان
552,يوما
555,احمد
1053,خير
1785,لما
568,اصابته
551,بالكورونا
1609,وصل
6963,اصابه
604,اغلاق
962,المدارس
590,الحدود
583,تطبيق
730,الاول
752,لكل
530,اتمني
731,افضل
559,كافه
1175,الطبيه
1325,انتشر
957,شعب
880,خطر
519,قامت
502,قالت
1693,كما
522,السعوديين
509,القاتل
1061,اخري
669,الموت
1674,العربيه
509,يموت
3801,اكثر
1524,عندنا
1278,عندهم
835,وحده
751,عندي
663,اكتر
3810,حالات
738,اعتقد
1658,الحالات
794,لمكافحه
942,ظهور
813,نفسه
2006,اكبر
2538,علاج
854,الوقت
3406,دول
933,طاءره
1010,الرءيس
1081,صحه
1415,شيء
1503,ليش
1038,الطيران
671,جماعه
1326,مصاب
555,بقي
811,الانسان
917,وصول
557,قادمه
744,حسب
575,السلام
656,موضوع
584,سلامه
910,قرار
588,يقولون
640,الرياض
1233,عنا
1156,بفايروس
779,حكومه
657,باذن
1771,كوريا
1289,الجنوبيه
805,جديد
570,فوق
832,وانا
655,منتشر
533,فحص
741,اسبوع
2356,الفايروس
1833,وفيات
988,الكمامات
1559,ليس
507,الحاله
658,اسراءيل
2222,الصيني
1343,يارب
579,الوطنيه
1778,منظمه
1752,الاصابه
842,شنو
753,طلع
508,سكان
1216,البحرين
875,الاحد
637,الجويه
2287,الاصابات
620,داعي
2040,كرونا
783,دون
921,مءكده
817,ولو
706,العامه
602,مجرد
519,توقف
599,اسيا
846,القادمه
1102,اخبار
948,للصين
556,طرق
578,هيك
790,بلا
575,ليست
553,كثير
602,الدكتور
967,اخطر
743,مما
500,الكل
1417,وما
1444,الرحلات
677,الامر
913,سبب
718,الطيور
577,كتير
914,العظيم
510,حالتين
705,الاردن
1389,نفس
724,اقل
1404,تسجل
599,لمن
894,الارض
950,طريق
754,نقل
647,مثلا
1396,انو
567,الوزراء
895,نسبه
973,تقول
517,لقاح
518,اقوي
718,العدد
1268,الهند
638,الصينيين
707,عنده
762,بما
724,تعلق
1982,ايطاليا
915,حصيله
540,ايقاف
614,طبيه
1409,قطر
745,الجزاءر
603,ضحايا
1282,عام
965,اقتصاد
637,السبب
1590,وايران
637,مصدر
1460,عدم
1386,اني
527,اعوذ
565,البرص
513,والجنون
524,والجذام
561,سيء
660,الاسقام
794,البشر
535,ضرب
607,البيت
607,امس
1328,محمد
987,بكل
548,الدين
591,ظهر
2923,الامارات
906,مجلس
957,روسيا
507,مسلمي
535,يصير
623,هاي
2886,العراق
721,اكيد
1847,رءيس
991,الاقتصاد
626,بينما
1462,الوضع
847,الايغور
641,طريقه
826,ترامب
4330,الكويت
537,بدايه
656,الشرق
630,الاوسط
539,البلاء
595,همه
886,ازمه
515,الازمه
662,يلي
621,سوريا
636,يوجد
563,انتم
728,انتشاره
769,المصابه
1001,بالفيروس
520,وعدد
1176,علينا
965,خبر
788,شركه
1147,للوقايه
550,بناء
670,بدا
614,الاعلام
730,العالمي
506,ليبيا
503,اوروبا
557,الاثنين
563,الغاء
1535,اليابان
504,شوي
634,نشر
872,العمل
906,العرب
1122,كنت
566,الجمعه
536,سبحانه
515,شركات
12891,ايران
752,مواجهه
698,شفاء
595,انتقال
530,الدراسه
734,بشان
674,نفسك
4393,لبنان
584,الجديده
859,اكتشاف
565,تري
650,اعداد
839,الخليج
678,مكافحه
508,صنع
523,اعرف
596,جراء
748,جاي
554,ضمن
516,وغيرها
701,الخبر
732,تعليق
624,رحلات
937,متن
1977,کورونا
719,اهل
524,اعلام
619,وانت
668,وكوريا
665,عمان
606,تاجيل
509,حدا
1153,الايرانيه
588,النفط
622,برنامج
1107,شده
574,الكويتيه
643,كود
731,خصم
2389,چین
511,الكحه
1878,این
544,های
1137,الايراني
715,الجراد
519,المدرسه
518,بود
1066,ایران
918,واءرس
1105,میں
791,السفينه
544,العمره
1400,ویروس
687,برای
923,است
1064,قرنطینه
1963,کرونا
